age_group,male_number,female_number,total_population,male_percent,female_percent
0-4,2918292,2915222,5833515,50.0,50.0
5-9,2561963,2547141,5109104,50.1,49.9
10-14,2713448,2690676,5404124,50.2,49.8
15-19,2504677,2470633,4975309,50.3,49.7
20-24,2670986,2638753,5309738,50.3,49.7
25-29,2825292,2907947,5733239,49.3,50.7
30-34,2776212,2816611,5592823,49.6,50.4
35-39,2596891,2625711,5222603,49.7,50.3
40-44,2089077,2096144,4185220,49.9,50.1
45-49,1586698,1706813,3293511,48.2,51.8
50-54,1277910,1491229,2769139,46.1,53.9
55-59,1100778,1395674,2496452,44.1,55.9
60-64,912280,1183387,2095667,43.5,56.5
65-69,672433,927238,1599671,42.0,58.0
70-74,419393,626614,1046006,40.1,59.9
75-79,238713,413321,652033,36.6,63.4
80-84,132074,262740,394814,33.5,66.5
85+,81640,232892,314532,26.0,74.0
