filename,source_name,source_url,time_period,data_status,limitations
za_gini_trend.csv,World Bank Poverty and Inequality Platform via Our World in Data,https://ourworldindata.org/grapher/economic-inequality-gini-index,1993-2022,real cleaned,"Survey-based estimates can vary by method and source survey."
za_population_group_shares.csv,Statistics South Africa Census population group table,local cleaned from data/archive/population_group_census_1996_2022.csv,2022,real cleaned,"Population group categories are official statistical categories and should not be treated as biological groups."
za_population_group_earnings.csv,Statistics South Africa How unequal is South Africa,https://www.statssa.gov.za/?p=12930,2011-2015,real cleaned,"Mean real monthly earnings do not measure total wealth or all household resources."
za_dwelling_ownership_by_group.csv,Statistics South Africa General Household Survey 2024 Table 8.6,https://www.statssa.gov.za/publications/P0318/P03182024.pdf,2024,real cleaned calculated,"Measures dwelling tenure by population group of household head, not total property wealth or absolute homes owned by individuals."
za_land_ownership_by_group.csv,Department of Rural Development and Land Reform Land Audit Report 2017,https://www.gov.za/sites/default/files/gcis_document/201802/landauditreport13feb2018.pdf,2017,real cleaned,"Measures individually owned farms and agricultural holdings, not all homes, all property, or all wealth."
za_income_distribution.csv,WID.world via Our World in Data,https://ourworldindata.org/grapher/income-share-top-10-before-tax-wid,1993-2014,real cleaned,"Before-tax income share estimates are not the same as disposable income."
za_wealth_distribution.csv,WID.world via Our World in Data,https://ourworldindata.org/grapher/wealth-share-richest-10-percent,1993-2024,real cleaned,"Wealth estimates may include modeled values where direct data is limited."
za_population_groups.csv,Derived grouping file for dashboard comparisons,local derived file,not time-series,derived grouping,"Population groups are simplified into top 10 percent middle 40 percent and bottom 50 percent for chart comparison."
za_poverty_indicators.csv,World Bank PIP via OWID and Statistics South Africa,https://www.statssa.gov.za/?p=19078,1993-2023,real cleaned,"Different poverty indicators use different definitions and should not be merged into one measure."
za_survey_demo.csv,Temporary synthetic survey demo data,local synthetic placeholder,development placeholder,synthetic placeholder,"Synthetic data is not evidence and must be replaced with real collected survey responses before final submission."
