year,indicator,value_percent,source_name,source_url,data_status,limitation
1993,Relative poverty below 50 percent of median,25.4150003195,World Bank Poverty and Inequality Platform via Our World in Data,https://ourworldindata.org/grapher/relative-poverty-share-of-people-below-50-of-the-median,real cleaned,"Relative poverty depends on the national median and is not the same as South Africa's national poverty lines."
2000,Relative poverty below 50 percent of median,25.4090011120,World Bank Poverty and Inequality Platform via Our World in Data,https://ourworldindata.org/grapher/relative-poverty-share-of-people-below-50-of-the-median,real cleaned,"Relative poverty depends on the national median and is not the same as South Africa's national poverty lines."
2005,Relative poverty below 50 percent of median,20.2906578779,World Bank Poverty and Inequality Platform via Our World in Data,https://ourworldindata.org/grapher/relative-poverty-share-of-people-below-50-of-the-median,real cleaned,"Relative poverty depends on the national median and is not the same as South Africa's national poverty lines."
2008,Relative poverty below 50 percent of median,23.0520769954,World Bank Poverty and Inequality Platform via Our World in Data,https://ourworldindata.org/grapher/relative-poverty-share-of-people-below-50-of-the-median,real cleaned,"Relative poverty depends on the national median and is not the same as South Africa's national poverty lines."
2010,Relative poverty below 50 percent of median,22.7284356952,World Bank Poverty and Inequality Platform via Our World in Data,https://ourworldindata.org/grapher/relative-poverty-share-of-people-below-50-of-the-median,real cleaned,"Relative poverty depends on the national median and is not the same as South Africa's national poverty lines."
2014,Relative poverty below 50 percent of median,22.2747832537,World Bank Poverty and Inequality Platform via Our World in Data,https://ourworldindata.org/grapher/relative-poverty-share-of-people-below-50-of-the-median,real cleaned,"Relative poverty depends on the national median and is not the same as South Africa's national poverty lines."
2022,Relative poverty below 50 percent of median,20.3708231449,World Bank Poverty and Inequality Platform via Our World in Data,https://ourworldindata.org/grapher/relative-poverty-share-of-people-below-50-of-the-median,real cleaned,"Relative poverty depends on the national median and is not the same as South Africa's national poverty lines."
2006,Food poverty line headcount,27.4,Statistics South Africa,https://www.statssa.gov.za/?p=19078,real cleaned,"Stats SA food poverty line values are national poverty measures and should not be merged with relative poverty values."
2023,Food poverty line headcount,17.6,Statistics South Africa,https://www.statssa.gov.za/?p=19078,real cleaned,"Stats SA food poverty line values are national poverty measures and should not be merged with relative poverty values."
2006,Upper-bound poverty line headcount,78.7,Statistics South Africa,https://www.statssa.gov.za/?p=19078,real cleaned,"Stats SA upper-bound poverty line values are national poverty measures and should not be merged with relative poverty values."
2023,Upper-bound poverty line headcount,66.7,Statistics South Africa,https://www.statssa.gov.za/?p=19078,real cleaned,"Stats SA upper-bound poverty line values are national poverty measures and should not be merged with relative poverty values."
