age_group,age_midpoint,female_percent,male_percent,total_population
0-4,2,50.0,50.0,5833515
5-9,7,49.9,50.1,5109104
10-14,12,49.8,50.2,5404124
15-19,17,49.7,50.3,4975309
20-24,22,49.7,50.3,5309738
25-29,27,50.7,49.3,5733239
30-34,32,50.4,49.6,5592823
35-39,37,50.3,49.7,5222603
40-44,42,50.1,49.9,4185220
45-49,47,51.8,48.2,3293511
50-54,52,53.9,46.1,2769139
55-59,57,55.9,44.1,2496452
60-64,62,56.5,43.5,2095667
65-69,67,58.0,42.0,1599671
70-74,72,59.9,40.1,1046006
75-79,77,63.4,36.6,652033
80-84,82,66.5,33.5,394814
85+,87,74.0,26.0,314532
