"id","age_range","status","main_pressure","cost_increased","cut_back_on","work_worry_rating","income_keeps_up_rating","transport_cost","food_cost","comment"
1,"18-21","Student","Food","Yes","[""Eating out"",""Transport"",""Social life""]",5,1,"R0-R300","R3000+","AI"
2,"18-21","Student","Data","Yes","[""Data""]",2,4,"R0-R300","R501-R1000",
3,"18-21","Student","Tuition","Yes","[""Eating out"",""Transport""]",3,3,"R301-R600","R501-R1000","Food prices and transport costs make it harder to keep a steady monthly budget."
4,"31+","Employed","Electricity","Yes","[""Eating out"",""Subscriptions"",""Clothing""]",4,2,"R1500+","R2001-R3000","I mostly reduce social spending when prices go up."
5,"22-25","Student","Food","Yes","[""Meat""]",5,1,"R601-R1000","R1001-R2000","Data, food, and transport are the costs I notice most during the month."
6,"31+","Studying and working","Transport","Not sure","[""Transport"",""Social life""]",2,1,"R301-R600","R501-R1000","Income has not really kept up with daily expenses."
7,"26-30","Employed","Transport","No","[""Transport"",""Data"",""Eating out""]",3,3,"R601-R1000","R1001-R2000","I try to buy cheaper groceries and travel less when possible."
8,"18-21","Student","Tuition","Yes","[""Eating out""]",4,2,"R301-R600","R501-R1000","Rent and electricity leave less money for food and study needs."
9,"22-25","Studying and working","Debt","Yes","[""Eating out"",""Meat""]",5,1,"R1500+","R2001-R3000","Work uncertainty makes it difficult to plan ahead financially."
10,"22-25","Unemployed","Food","Yes","[""Meat"",""Transport"",""Subscriptions""]",4,2,"R0-R300","R3000+","I have cut back on eating out and subscriptions to manage expenses."
11,"26-30","Student","Transport","Yes","[""Transport""]",3,1,"R1001-R1500","R2001-R3000","Transport costs affect how often I can attend activities away from home."
12,"31+","Employed","Transport","Not sure","[""Transport"",""Clothing""]",4,2,"R601-R1000","R1001-R2000",
13,"18-21","Student","Tuition","No","[""Eating out"",""Social life"",""Data""]",5,1,"R301-R600","R501-R1000","Food prices and transport costs make it harder to keep a steady monthly budget."
14,"22-25","Student","Rent","Yes","[""Eating out""]",2,3,"R301-R600","R1001-R2000","I mostly reduce social spending when prices go up."
15,"26-30","Employed","Rent","Yes","[""Eating out"",""Meat""]",3,2,"R0-R300","R3000+","Data, food, and transport are the costs I notice most during the month."
16,"26-30","Student","Transport","Yes","[""Transport"",""Meat"",""Subscriptions""]",4,1,"R1001-R1500","R2001-R3000","Income has not really kept up with daily expenses."
17,"18-21","Studying and working","Rent","Yes","[""Eating out""]",5,1,"R601-R1000","R1001-R2000","I try to buy cheaper groceries and travel less when possible."
18,"22-25","Unemployed","Debt","Not sure","[""Eating out"",""Subscriptions""]",4,2,"R1001-R1500","R1001-R2000","Rent and electricity leave less money for food and study needs."
