id,age,status,pressure,cost_increased,work_worry,income_keeps_up,transport_cost,food_cost,cut_back_on,is_synthetic,source_note
1,18-21,Student,Food,Yes,5,1,R0-R300,R3000+,"Eating out; Transport; Social life",true,"Demo survey data shown for development purposes. Final project will use real collected responses."
2,18-21,Student,Data,Yes,2,4,R0-R300,R501-R1000,Data,true,"Demo survey data shown for development purposes. Final project will use real collected responses."
3,18-21,Student,Tuition,Yes,3,3,R301-R600,R501-R1000,"Eating out; Transport",true,"Demo survey data shown for development purposes. Final project will use real collected responses."
4,31+,Employed,Electricity,Yes,4,2,R1500+,R2001-R3000,"Eating out; Subscriptions; Clothing",true,"Demo survey data shown for development purposes. Final project will use real collected responses."
5,22-25,Student,Food,Yes,5,1,R601-R1000,R1001-R2000,Meat,true,"Demo survey data shown for development purposes. Final project will use real collected responses."
6,31+,Studying and working,Transport,Not sure,2,1,R301-R600,R501-R1000,"Transport; Social life",true,"Demo survey data shown for development purposes. Final project will use real collected responses."
7,26-30,Employed,Transport,No,3,3,R601-R1000,R1001-R2000,"Transport; Data; Eating out",true,"Demo survey data shown for development purposes. Final project will use real collected responses."
8,18-21,Student,Food,Yes,4,2,R301-R600,R1001-R2000,"Eating out; Meat",true,"Demo survey data shown for development purposes. Final project will use real collected responses."
9,22-25,Unemployed,Debt,Yes,5,1,R0-R300,R501-R1000,"Subscriptions; Social life",true,"Demo survey data shown for development purposes. Final project will use real collected responses."
10,26-30,Employed,Rent,Yes,4,2,R1001-R1500,R2001-R3000,"Eating out; Clothing",true,"Demo survey data shown for development purposes. Final project will use real collected responses."
11,18-21,Student,Data,Yes,3,2,R0-R300,R501-R1000,Data,true,"Demo survey data shown for development purposes. Final project will use real collected responses."
12,22-25,Studying and working,Transport,Yes,4,2,R601-R1000,R1001-R2000,"Transport; Eating out",true,"Demo survey data shown for development purposes. Final project will use real collected responses."
13,31+,Employed,Food,Yes,3,3,R1500+,R3000+,"Meat; Subscriptions",true,"Demo survey data shown for development purposes. Final project will use real collected responses."
14,26-30,Unemployed,Food,Yes,5,1,R301-R600,R1001-R2000,"Meat; Social life",true,"Demo survey data shown for development purposes. Final project will use real collected responses."
15,22-25,Student,Tuition,Not sure,3,2,R301-R600,R501-R1000,"Eating out; Data",true,"Demo survey data shown for development purposes. Final project will use real collected responses."
16,31+,Employed,Electricity,Yes,4,2,R1001-R1500,R2001-R3000,"Electricity; Eating out",true,"Demo survey data shown for development purposes. Final project will use real collected responses."
17,18-21,Student,Transport,Yes,4,1,R601-R1000,R1001-R2000,"Transport; Social life",true,"Demo survey data shown for development purposes. Final project will use real collected responses."
18,26-30,Studying and working,Debt,Yes,5,1,R1001-R1500,R2001-R3000,"Subscriptions; Clothing",true,"Demo survey data shown for development purposes. Final project will use real collected responses."
19,22-25,Employed,Food,Yes,3,2,R601-R1000,R2001-R3000,"Meat; Eating out",true,"Demo survey data shown for development purposes. Final project will use real collected responses."
20,18-21,Unemployed,Data,No,4,2,R0-R300,R501-R1000,"Data; Social life",true,"Demo survey data shown for development purposes. Final project will use real collected responses."
21,31+,Employed,Rent,Yes,4,1,R1500+,R3000+,"Eating out; Transport; Subscriptions",true,"Demo survey data shown for development purposes. Final project will use real collected responses."
22,22-25,Student,Food,Yes,5,1,R301-R600,R1001-R2000,"Meat; Data",true,"Demo survey data shown for development purposes. Final project will use real collected responses."
23,26-30,Employed,Transport,Not sure,3,3,R1001-R1500,R2001-R3000,"Transport; Clothing",true,"Demo survey data shown for development purposes. Final project will use real collected responses."
24,18-21,Student,Food,Yes,4,2,R0-R300,R501-R1000,"Eating out; Data",true,"Demo survey data shown for development purposes. Final project will use real collected responses."
